SKU,Name,Item Id,Product URL,Sales,Ad Spend,TRoAS
"187490000113","Zero Odor Multi-Purpose Odor Eliminator Spray Home Air & Surface Deodorizer 8 oz","45836429","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Home-Air-Surface-Deodorizer-8-oz/45836429","1605.56","490.68","3.27"
"187490000038","Zero Odor Pet Odor Eliminator Air & Surface Deodorizer for Dog Cat Urine Carpet 64 oz","611303361","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Air-Surface-Deodorizer-for-Dog-Cat-Urine-Carpet-64-oz/611303361","199.95","41.59","4.81"
"187490000052","Zero Odor Laundry Odor Eliminator Deodorizer Additive Smell Remover 64 oz","498053157","http://www.walmart.com/ip/Zero-Odor-Laundry-Odor-Eliminator-Deodorizer-Additive-Smell-Remover-64-oz/498053157","479.88","55.60","8.63"
"187490000137","Zero Odor Molecular Odor Eliminator Spray Multi-Purpose Air & Surface Deodorizer Smell Remover 16 oz","47657386","http://www.walmart.com/ip/Zero-Odor-Molecular-Odor-Eliminator-Spray-Multi-Purpose-Air-Surface-Deodorizer-Smell-Remover-16-oz/47657386","4125.42","1467.94","2.81"
"187490000014","Zero Odor Multi-Purpose Odor Eliminator Spray Refill Air & Surface Deodorizer 128 oz","721648217","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Refill-Air-Surface-Deodorizer-128-oz/721648217","64.99","2.16","30.09"
"187490000656","Zero Odor Pet Odor Eliminator Spray Kit with Litter Box Deodorizer and Stain Remover Set of 3","435531915","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-Kit-with-Litter-Box-Deodorizer-and-Stain-Remover-Set-of-3/435531915","104.85","18.61","5.63"
"187490000106","Zero Odor Odor Eliminator Spray Refill Multi-Purpose Home Air & Surface Deodorizer 64 oz","121565189","http://www.walmart.com/ip/Zero-Odor-Odor-Eliminator-Spray-Refill-Multi-Purpose-Home-Air-Surface-Deodorizer-64-oz/121565189","439.89","24.94","17.64"
"187490000007","Zero Odor Litter Box Odor Eliminator Refill Cat Kitty Litter Deodorizer Pet Smell Remover 64 oz","133220217","http://www.walmart.com/ip/Zero-Odor-Litter-Box-Odor-Eliminator-Refill-Cat-Kitty-Litter-Deodorizer-Pet-Smell-Remover-64-oz/133220217","79.98","3.87","20.67"
"187490000274","Zero Odor Pet Odor Eliminator Deodorizer for Dog Cat Urine Carpet Smell Remover 128 oz Refill","416192867","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Deodorizer-for-Dog-Cat-Urine-Carpet-Smell-Remover-128-oz-Refill/416192867",0,"4.79",0
"187490000205","Zero Odor Pet Odor Eliminator Spray Deodorizer for Dog Cat Urine Smell Remover 16 oz","30193995","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-Deodorizer-for-Dog-Cat-Urine-Smell-Remover-16-oz/30193995","2590.38","588.67","4.40"
"187490000533","Zero Odor Laundry Odor Eliminator Additive Deodorizer Smell Remover 16 oz","46703313","http://www.walmart.com/ip/Zero-Odor-Laundry-Odor-Eliminator-Additive-Deodorizer-Smell-Remover-16-oz/46703313","239.84","54.62","4.39"
"187490000236","Zero Odor Pet Odor Eliminator Spray Stain Remover Urine Cleaner Deodorizer 16 oz","30215373","http://www.walmart.com/ip/Zero-Odor-Pet-Odor-Eliminator-Spray-Stain-Remover-Urine-Cleaner-Deodorizer-16-oz/30215373","611.64","264.45","2.31"
"187490000144","Zero Odor Multi-Purpose Odor Eliminator Spray Home Air & Surface Deodorizer 22 oz","289662368","http://www.walmart.com/ip/Zero-Odor-Multi-Purpose-Odor-Eliminator-Spray-Home-Air-Surface-Deodorizer-22-oz/289662368","559.72","126.21","4.43"
"187490000984","Zero Odor Laundry Odor Eliminator Kit for Workout Clothes Bedding with Multi-Purpose Deodorizer","777636288","http://www.walmart.com/ip/Zero-Odor-Laundry-Odor-Eliminator-Kit-for-Workout-Clothes-Bedding-with-Multi-Purpose-Deodorizer/777636288","179.94","121.95","1.48"
